86,0.287,143,603,533,91,153,22,2,35,284,94,8,10,0,8,60,3,2,135,17,0.533,0.357
87,0.287,138,531,474,51,136,33,1,17,222,68,0,4,0,3,44,3,9,143,5,0.468,0.357
88,0.284,134,596,532,62,151,20,2,4,187,66,9,3,5,1,57,0,1,58,9,0.352,0.354
89,0.284,136,585,529,60,150,24,1,11,209,82,1,0,0,7,45,2,4,55,24,0.395,0.34
90,0.282,141,584,510,68,144,30,0,31,267,98,0,1,0,3,62,0,9,109,17,0.524,0.368
91,0.278,139,599,521,82,145,35,0,37,291,124,1,0,0,3,68,4,7,172,12,0.559,0.367
92,0.276,125,521,442,68,122,18,9,5,173,35,30,7,15,0,60,2,4,98,1,0.391,0.368
93,0.27,111,451,392,38,106,14,1,5,137,43,8,3,16,7,28,2,8,30,3,0.349,0.326
94,0.27,141,627,537,88,145,19,2,13,207,81,12,9,2,7,69,0,12,136,13,0.385,0.362
95,0.268,125,492,406,51,109,20,1,17,182,40,1,3,0,0,70,0,16,111,5,0.448,0.396
96,0.268,142,622,533,66,143,25,0,10,198,42,3,1,8,4,72,0,5,88,15,0.371,0.358
97,0.264,143,617,515,69,136,8,2,0,148,39,34,7,34,0,66,0,2,93,10,0.287,0.35
98,0.263,143,611,539,72,142,26,0,30,258,102,1,0,0,7,64,4,1,120,11,0.479,0.339
99,0.263,142,564,487,60,128,24,4,6,178,50,1,5,24,3,47,1,3,58,10,0.366,0.33
100,0.262,132,565,484,61,127,22,0,17,200,68,11,4,0,1,72,2,8,78,10,0.413,0.366
101,0.256,126,501,445,52,114,17,1,10,163,48,14,2,7,3,43,3,3,82,7,0.366,0.324
102,0.255,133,532,501,48,128,23,1,16,201,73,0,0,0,5,24,1,2,66,7,0.401,0.289
103,0.24,117,483,417,43,100,19,0,10,149,46,1,2,0,1,53,1,12,93,10,0.357,0.342
104,0.239,139,593,506,57,121,16,3,11,176,55,16,15,29,4,48,0,6,68,11,0.348,0.31
105,0.237,117,444,413,31,98,18,0,9,143,42,13,8,10,4,12,0,5,48,8,0.346,0.265
106,0.235,135,525,473,52,111,31,0,27,223,89,0,0,0,2,45,1,5,153,14,0.471,0.307
107,0.231,143,554,498,62,115,22,2,34,243,97,1,0,0,4,43,0,9,129,18,0.488,0.301
108,0.228,142,530,457,52,104,18,3,7,149,45,3,3,35,4,34,0,0,83,13,0.326,0.279
109,0.211,133,443,399,31,84,16,0,4,112,35,0,0,22,2,16,0,4,87,7,0.281,0.247
